canonical_organism,canonical_drug,drug_class,iso3_country,parsed_year,specimen_source,n_isolates_in_stratum,n_tested,n_susceptible,n_intermediate,n_resistant,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Candida glabrata,Micafungin,Echinocandin,ARG,2024,Tracheal aspirate,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2011,Unknown,17,17,15,1,1,1.0,0.8823529411764706,0.8823529411764706,0.0,0.8823529411764706,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2012,Blood culture,18,18,18,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2012,Plueral fluid,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2012,Unknown,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2013,Aspirate,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2013,Blood culture,22,22,22,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2014,Blood culture,10,10,10,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2014,Invasive pulmonary,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2015,Blood culture,4,4,4,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2016,Blood culture,9,9,9,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2017,Blood culture,10,10,10,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2017,Bronchoalveolar lavage/wash,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2017,Urine/Urinary tract,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2018,Blood culture,7,7,7,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2018,Bronchoalveolar lavage/wash,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2018,Tracheal aspirate,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2019,Blood culture,12,12,11,0,1,1.0,0.9166666666666666,0.9166666666666666,0.0,0.9166666666666666,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2019,Bronchoalveolar lavage/wash,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2019,GI tract/bowel,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2019,Genital tract,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2019,Peritoneal fluid,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2019,Unknown,3,3,3,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2019,Urine/Urinary tract,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2020,Abscess (pus),1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2020,Aspirate,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2020,Blood culture,9,9,9,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2020,Genital tract,9,9,9,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2020,Plueral fluid,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2020,Ureteral catheter,5,5,5,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2021,Aspirate,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2021,Blood culture,13,13,12,1,0,1.0,0.9230769230769231,0.9230769230769231,0.0,0.9230769230769231,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2021,"Ears,nose,throat",1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2021,Genital tract,8,8,8,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2021,Other,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2021,Tissue,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2021,Urine/Urinary tract,7,7,7,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2021,Wound/Drainage/Ulcer,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2022,Aspirate,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2022,Blood culture,16,16,15,0,1,1.0,0.9375,0.9375,0.0,0.9375,True,v1,2026-07-08
